geometry_case,mode,mach,altitude_ft,throttle,shaft_power_fraction,design_fan1_pr,design_fan2_pr,design_inlet_mn,design_fan1_mn,design_fan2_mn,design_ab_mn,mode1_nozzle_throat_area_in2,mode1_inlet_exit_mn,mode2_inlet_exit_mn,requested_total_fan_shaft_power_hp,actual_total_fan_shaft_power_hp,thrust_lbf,fuel_flow_lbm_s,fan1_speed_rpm,fan2_speed_rpm,fan1_shaft_power_hp,fan2_shaft_power_hp,fan_speed_delta_rpm,fan_speed_delta_fraction,fan_power_delta_hp,fan_power_delta_fraction,fan1_power_fraction,fan1_area_in2,fan2_area_in2,inlet_area_in2,nozzle_throat_area_in2,pycycle_point_name,pycycle_converged,pycycle_residual_norm,pycycle_solver_iterations,pycycle_solver_atol,pycycle_solver_rtol,pycycle_status,required_thrust_lbf,drag_lbf,required_thrust_to_weight,dynamic_pressure_lbf_ft2,velocity_ft_s,speed_of_sound_ft_s,lift_coefficient,parasite_cd0,wave_cd0,zero_lift_drag_coefficient,lift_dependent_k,induced_drag_coefficient,total_drag_coefficient,density_slug_ft3,temperature_R,pressure_psf,is_stall_limited
baseline,fan,0.78,34999.99999999999,0.5,0.5,,,,,,,,,,1341.022089595,44.57565205164529,-10.845042973853225,0.0,1984.2513149602494,1984.2513149602494,25.905558746216126,18.670093305429162,0.0,0.0,7.235465440786962,0.27930165535780244,0.5811593897987624,209.22887100936637,183.5491883032816,180.00000001818213,118.00000016710354,OD_mode1,True,,50,1e-06,1e-06,ok,,,,,,,,,,,,,,,,,
baseline,fan,0.78,34999.99999999999,1.0,1.0,,,,,,,,,,2682.04417919,103.9980566446094,20.853031805733572,0.0,2500.0,2500.0,60.826153946643814,43.17190269796559,0.0,0.0,17.65425124867822,0.2902411233194915,0.5848777939620918,209.22887100936637,183.5491883032816,179.99999999999997,118.00000012143786,OD_mode1,True,,50,1e-06,1e-06,ok,,,,,,,,,,,,,,,,,
nozz180,fan,0.78,34999.99999999999,0.5,0.5,,,,,,,180.0,,,1341.022089595,59.19689639193408,-85.04434429929812,0.0,1984.2513149602494,1984.2513149602494,37.32145421796684,21.875442173967244,0.0,0.0,15.446012043999591,0.41386415314341535,0.6304630224339277,209.22887101158923,183.54918830523096,179.99999999999997,179.99999941365903,OD_mode1,True,,50,1e-06,1e-06,ok,,,,,,,,,,,,,,,,,
nozz180,fan,0.78,34999.99999999999,1.0,1.0,,,,,,,180.0,,,2682.04417919,90.24430525596391,-73.12410681722031,0.0,2500.0,2500.0,47.47949073540911,42.7648145205548,0.0,0.0,4.71467621485431,0.09929921618426739,0.5261217381057002,209.22887101158923,183.54918830523096,179.99999999999997,180.0000007641648,OD_mode1,True,,50,1e-06,1e-06,ok,,,,,,,,,,,,,,,,,
