rpm,torque_N_m,efficiency
500,1,0.0196510766388
547.48603352,1,0.0210943050887
594.972067039,1,0.0224790586464
642.458100559,1,0.0238079123352
689.944134078,1,0.025083235312
737.430167598,1,0.026307212316
784.916201117,1,0.0274818626961
832.402234637,1,0.0286090573237
879.888268156,1,0.0296905336559
927.374301676,1,0.0307279091763
974.860335196,1,0.0317226934057
1022.34636872,1,0.032676298652
1069.83240223,1,0.0335900496432
1117.31843575,1,0.0344651921696
1164.80446927,1,0.0353029008445
1212.29050279,1,0.0361042860776
1259.77653631,1,0.0368704003466
1307.26256983,1,0.0376022438371
1354.74860335,1,0.0383007695187
1402.23463687,1,0.0389668877105
1449.72067039,1,0.0396014701887
1497.20670391,1,0.0402053538802
1544.69273743,1,0.0407793441817
1592.17877095,1,0.041324217939
1639.66480447,1,0.0418407261205
1687.15083799,1,0.0423295962104
1734.63687151,1,0.0427915343502
1782.12290503,1,0.0432272272487
1829.60893855,1,0.0436373438848
1877.09497207,1,0.0440225370183
1924.58100559,1,0.0443834445301
1972.06703911,1,0.0447206906038
2019.55307263,1,0.0450348867663
2067.03910615,1,0.045326632798
2114.52513966,1,0.0455965175268
2162.01117318,1,0.0458451195161
2209.4972067,1,0.0460730076561
2256.98324022,1,0.0462807416705
2304.46927374,1,0.0464688725441
2351.95530726,1,0.0466379428821
2399.44134078,1,0.0467884872058
2446.9273743,1,0.046921032195
2494.41340782,1,0.047036096879
2541.89944134,1,0.0471341927865
2589.38547486,1,0.0472158240563
2636.87150838,1,0.0472814875152
2684.3575419,1,0.047331672728
2731.84357542,1,0.0473668620228
2779.32960894,1,0.0473875304954
2826.81564246,1,0.0473941459975
2874.30167598,1,0.0473871691104
2921.7877095,1,0.0473670531077
2969.27374302,1,0.0473342439098
3016.75977654,1,0.0472891800326
3064.24581006,1,0.0472322925314
3111.73184358,1,0.0471640049434
3159.21787709,1,0.0470847332299
3206.70391061,1,0.0469948857189
3254.18994413,1,0.0468948630512
3301.67597765,1,0.0467850581287
3349.16201117,1,0.0466658560684
3396.64804469,1,0.046537634161
3444.13407821,1,0.0464007618357
3491.62011173,1,0.0462556006322
3539.10614525,1,0.0461025041785
3586.59217877,1,0.0459418181775
3634.07821229,1,0.0457738804005
3681.56424581,1,0.0455990206885
