# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568
# scaling_method: Case B design-point MCP scaling
# target_mcp_kw: 1499.9999999999998
# design_mach: 0.35
# design_altitude_ft: 15000.0
# mcp_throttle: 50.0
# base_design_power_kw: 1120.34694469152
# scale_factor: 1.3388709694861662
mach,altitude_ft,throttle,shaft_power_hp,tailpipe_thrust_lbf,fuel_flow_lb_hr
0.0,0.0,20.0,149.95354858245062,50.47543554962847,262.15093582539134
0.0,0.0,22.0,240.11981402249648,59.867615400573925,308.1773031434173
0.0,0.0,24.0,329.9942055911944,68.83631036387091,351.30367594153614
0.0,0.0,26.0,419.77353732105877,77.48702347191492,392.3695263176159
0.0,0.0,28.0,509.72290566404786,85.90249695062022,432.3174194341746
0.0,0.0,30.0,599.8141943298025,94.25651625182611,471.6842425499764
0.0,0.0,32.0,689.9054829955571,102.84095524688055,511.01089953669356
0.0,0.0,34.0,779.8200406933396,111.44668229034984,549.9881112003749
0.0,0.0,36.0,869.5806282296312,120.01853589829112,588.6747878636776
0.0,0.0,38.0,959.8111594762123,128.7016496837967,627.7818700113991
0.0,0.0,40.0,1049.6748400771544,137.36816146928064,666.3560815132649
0.0,0.0,42.0,1139.5492316458522,146.0547563193069,705.0387415636592
0.0,0.0,44.0,1229.7382578923794,154.90469342761045,743.772278710894
0.0,0.0,46.0,1319.4720680092812,163.87780666510676,782.4991215032815
0.0,0.0,48.0,1409.6570776428996,173.0597837738429,822.3894431681522
0.0,0.0,50.0,1499.5354858245062,182.4881131409645,862.2329043490911
0.0,1500.0,20.0,128.12995177982611,47.66380651370752,250.90441968170757
0.0,1500.0,22.0,205.17394284793806,55.592734282101546,289.94857489386317
0.0,1500.0,24.0,281.9689039157256,63.380946711602576,327.4476730072317
0.0,1500.0,26.0,358.68085498340497,71.07409930227008,363.74044837709323
0.0,1500.0,28.0,435.5400818577278,78.71650868319406,399.1576021329107
0.0,1500.0,30.0,512.5198071193045,86.35717753185773,434.0619683074151
0.0,1500.0,32.0,589.4995323808811,94.071752058037,468.93152383671287
0.0,1500.0,34.0,666.3359984487226,101.7863265842163,503.64577033355016
0.0,1500.0,36.0,743.0358996776766,109.4800147232716,538.1993523140492
0.0,1500.0,38.0,820.0638242941548,117.21400287850844,572.5936086491793
0.0,1500.0,40.0,896.9096624587827,124.9166614530593,606.9102104680792
0.0,1500.0,42.0,973.6483909458519,132.78065397943325,641.3955100291344
0.0,1500.0,44.0,1050.7486145946823,140.6724950219725,675.8540321707998
0.0,1500.0,46.0,1127.326678565413,148.5156011612225,710.1451954412794
0.0,1500.0,48.0,1204.4269022142432,156.5180329458413,744.6104119377924
0.0,1500.0,50.0,1281.1656307013125,164.54724214984984,778.9551300470515
0.0,3000.0,20.0,136.2970646936917,48.46712909539922,258.0004358199842
0.0,3000.0,22.0,218.14090818741158,57.013945816211105,298.9886316798337
0.0,3000.0,24.0,299.8053429712203,65.26447039147571,338.16667398893793
0.0,3000.0,26.0,381.41220630334107,73.3519204826569,376.04868919957954
0.0,3000.0,28.0,463.11546834526484,81.44619881578247,413.2077140866986
0.0,3000.0,30.0,544.9204845808697,89.57046785862453,449.9945328443005
0.0,3000.0,32.0,626.807171945613,97.6777332401541,486.7867070857803
0.0,3000.0,34.0,708.505078503659,105.86640197662844,523.4356221335252
0.0,3000.0,36.0,790.0048321582209,114.13674184224145,559.9131616971757
0.0,3000.0,38.0,871.9972903295537,122.23691120763276,596.232714486427
0.0,3000.0,40.0,953.6777915649961,130.53991952490122,632.6165330822136
0.0,3000.0,42.0,1035.2270834454291,138.88510227770848,668.911986194014
0.0,3000.0,44.0,1117.2088306490061,147.25304583699702,705.4203197899627
0.0,3000.0,46.0,1198.7795444649507,155.66517213827862,741.7050619340073
0.0,3000.0,48.0,1280.635437797396,164.20850779456984,778.2776613364915
0.0,3000.0,50.0,1362.3012114521741,172.71435506371546,814.5690978353836
0.0,5000.0,20.0,147.81135503127277,49.67211296793677,268.44362938197634
0.0,5000.0,22.0,236.80075288914028,58.8629266250715,311.6155237930578
0.0,5000.0,24.0,325.41660574652116,67.75543983020472,353.1714009439694
0.0,5000.0,26.0,413.9079436037398,76.48407522867284,393.5463938997942
0.0,5000.0,28.0,502.6282283967406,85.21351394972264,433.1769745965847
0.0,5000.0,30.0,591.5131943189882,93.98874205792887,472.487565131668
0.0,5000.0,32.0,680.3245223379141,102.82087218233826,512.0739630864655
0.0,5000.0,34.0,768.9336808404477,111.68218969388245,551.5331682991618
0.0,5000.0,36.0,857.4062745040934,120.5772467538577,590.7326325437778
0.0,5000.0,38.0,946.4800212330385,129.5857061849484,629.7888375946587
0.0,5000.0,40.0,1035.0811465097552,138.57314534181822,668.8999363552887
0.0,5000.0,42.0,1123.6715608187158,147.58106922452112,708.171699632257
0.0,5000.0,44.0,1212.5725931925972,156.7590297203488,747.3992801672321
0.0,5000.0,46.0,1301.0157316949144,165.9731397323526,786.5706281214889
0.0,5000.0,48.0,1390.0292292302327,175.30908700257962,826.1744313988896
0.0,5000.0,50.0,1478.649098700522,184.89808088603954,866.2495172575495
0.0,10000.0,20.0,181.55090346232413,52.885403294703565,300.4426455526957
0.0,10000.0,22.0,290.7157479593787,63.904445260671665,349.6166985199836
0.0,10000.0,24.0,399.52980826242793,74.68637317794375,397.2898771304776
0.0,10000.0,26.0,508.22470904919277,85.34110835311468,444.1396500947374
0.0,10000.0,28.0,617.129812578167,95.99477243151,491.0202170912956
0.0,10000.0,30.0,726.2036138492965,106.70801626804746,538.0922426364901
0.0,10000.0,32.0,835.277415120426,117.54363291119594,585.3035107625113
0.0,10000.0,34.0,944.1396747783768,128.41258744148465,632.3996359851568
0.0,10000.0,36.0,1052.8144925005995,139.30818550406613,679.3538408850367
0.0,10000.0,38.0,1162.0569915138842,150.39269826044207,726.6869462692811
0.0,10000.0,40.0,1270.856324236269,161.46783892003165,773.867420363004
0.0,10000.0,42.0,1379.6663679264097,172.75853780570847,821.6262867155452
0.0,10000.0,44.0,1488.8646841977013,184.5767518533629,870.3705621016279
0.0,10000.0,46.0,1597.5006746618092,196.51412541730156,919.3250402299202
0.0,10000.0,48.0,1706.6989909331007,208.71257882029,968.999830939796
0.0,10000.0,50.0,1815.5090346232414,220.91370996521744,1018.8808077789726
0.0,15000.0,20.0,240.9967745075099,58.10700007569961,351.31974239317
0.0,15000.0,22.0,381.11765469005417,68.29098821799919,408.85906117780746
0.0,15000.0,24.0,524.0970243924513,80.63042473407455,466.56573883363075
0.0,15000.0,26.0,668.5130026451071,94.17042684848815,524.9713071355258
0.0,15000.0,28.0,812.4617149294123,107.68324988222116,585.1736402784712
0.0,15000.0,30.0,955.9538722131227,121.03393564154943,646.0052427770752
0.0,15000.0,32.0,1100.1141261106068,134.53243275590896,704.2715684981437
0.0,15000.0,34.0,1242.8002830706864,147.64667390202595,764.1994330923445
0.0,15000.0,36.0,1384.0310872869347,160.91756295157282,827.3941428520916
0.0,15000.0,38.0,1529.0575907016762,178.16355990952414,891.7777700327423
0.0,15000.0,40.0,1672.9192763729648,192.66353250905934,951.1339367229725
0.0,15000.0,42.0,1815.6563104298848,206.9586578502631,1017.6477076160756
0.0,15000.0,44.0,1957.9247396474848,223.99311319503562,1081.8090822157917
0.0,15000.0,46.0,2102.402305964737,240.77452192657523,1145.8298753637118
0.0,15000.0,48.0,2246.732596475346,258.2521435622476,1212.440044966618
0.0,15000.0,50.0,2386.537503109091,275.53964552025303,1282.772275864696
0.0,17500.0,20.0,172.58046796676683,53.287064585549416,351.31974239317
0.0,17500.0,22.0,274.19809680882787,65.82425234381788,385.92152372857055
0.0,17500.0,24.0,377.22555678175786,76.30560372844033,422.3843357115568
0.0,17500.0,26.0,480.6426282068083,85.6195935147678,460.7068394711593
0.0,17500.0,28.0,582.9096094690701,94.71427623629343,501.0510383946859
0.0,17500.0,30.0,684.5647266982768,104.29804852297235,542.9121781266404
0.0,17500.0,32.0,787.331106832157,115.53171150534908,585.3343047948096
0.0,17500.0,34.0,890.2581514823755,126.44484877763082,629.6281730783204
0.0,17500.0,36.0,992.898677745124,136.2622540484851,674.3129916849211
