# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568
# altitude_extension_method: ISA density-lapse extrapolation from highest source altitude
# source_altitude_max_ft: 25000.0
# expanded_altitude_max_ft: 100000.0
# altitude_lapse_exponent: 1.0
# scaling_method: Case B design-point MCP scaling
# target_mcp_kw: 2611.2972028298286
# design_mach: 0.35
# design_altitude_ft: 59999.99999999999
# mcp_throttle: 50.0
# base_design_power_kw: 256.07189496193644
# scale_factor: 10.197515831317538
mach,altitude_ft,throttle,shaft_power_hp,tailpipe_thrust_lbf,fuel_flow_lb_hr
0.0,0.0,20.0,1142.1217731075644,384.44634684067125,1996.673599771974
0.0,0.0,22.0,1828.873476767644,455.98192039736375,2347.233601505177
0.0,0.0,24.0,2513.4021219764963,524.2920196966105,2675.705783947746
0.0,0.0,26.0,3197.2067435613253,590.1802089859194,2988.483989525918
0.0,0.0,28.0,3882.3064496567317,654.2766947436658,3292.747269384939
0.0,0.0,30.0,4568.487092430258,717.9051145247548,3592.584827373169
0.0,0.0,32.0,5254.667735203783,783.2885267804133,3892.116459886459
0.0,0.0,34.0,5939.502305887575,848.83407953779,4188.986540767775
0.0,0.0,36.0,6623.164162250766,914.1216351446342,4483.643760713695
0.0,0.0,38.0,7310.405346670748,980.2566043170609,4781.50300063065
0.0,0.0,40.0,7994.8524117529505,1046.2651242931795,5075.303629246739
0.0,0.0,42.0,8679.381056961802,1112.4266070067677,5369.930256645165
0.0,0.0,44.0,9366.306118391014,1179.8321866517765,5664.944389645182
0.0,0.0,46.0,10049.764024437578,1248.1759377532667,5959.907535066041
0.0,0.0,48.0,10736.658493319295,1318.1105013244426,6263.732321744316
0.0,0.0,50.0,11421.217731075643,1389.9214078085806,6567.200195368495
0.0,1500.0,20.0,975.9022650570885,363.0315635949044,1911.0144667889067
0.0,1500.0,22.0,1562.7081160544249,423.42227209954996,2208.394423461789
0.0,1500.0,24.0,2147.617229107136,482.7412216903241,2494.0064468653304
0.0,1500.0,26.0,2731.894096178306,541.3361476570747,2770.430508504855
0.0,1500.0,28.0,3317.2926899909203,599.5445877738183,3040.1853947906975
0.0,1500.0,30.0,3903.609060228354,657.7397711199812,3306.034632513146
0.0,1500.0,32.0,4489.925430465787,716.4978573400329,3571.61873482398
0.0,1500.0,34.0,5075.150666509269,775.2559435600846,3836.019925298381
0.0,1500.0,36.0,5659.3357559379565,833.8549485331675,4099.197413873025
0.0,1500.0,38.0,6246.019236745317,892.7608987327734,4361.16139806374
0.0,1500.0,40.0,6831.315855399619,951.4282270619263,4622.53392633624
0.0,1500.0,42.0,7415.796672787415,1011.324356048753,4885.191341603486
0.0,1500.0,44.0,8003.030819449667,1071.432593364871,5147.644806554105
0.0,1500.0,46.0,8586.287934937705,1131.1696411047292,5408.82358202581
0.0,1500.0,48.0,9173.522081599956,1192.1201932285142,5671.328034555587
0.0,1500.0,50.0,9758.002898987752,1253.2746956689255,5932.914710660543
0.0,3000.0,20.0,1038.1071116281255,369.1500730936949,1965.0613006948895
0.0,3000.0,22.0,1661.4710568807352,434.2469351544935,2277.2480503548445
0.0,3000.0,24.0,2283.4685350119485,497.08708696182157,2575.6477586108585
0.0,3000.0,26.0,2905.0275199624148,558.6851813408952,2864.176271542157
0.0,3000.0,28.0,3527.3207260527365,620.3352830507085,3147.1981259245445
0.0,3000.0,30.0,4150.388943346238,682.2138091151434,3427.3850709058247
0.0,3000.0,32.0,4774.07920910545,743.9628267285203,3707.6128059504304
0.0,3000.0,34.0,5396.331625132447,806.3318533044416,3986.7494068010856
0.0,3000.0,36.0,6017.074808816407,869.3229283460732,4264.580725625332
0.0,3000.0,38.0,6641.570678326294,931.0178991255443,4541.208737581483
0.0,3000.0,40.0,7263.690526647482,994.25779355346,4818.326230297537
0.0,3000.0,42.0,7884.811018417202,1057.8189097300622,5094.770686968724
0.0,3000.0,44.0,8509.225307800438,1121.5533836757968,5372.83654865709
0.0,3000.0,46.0,9130.508959823459,1185.624375643965,5649.199425201627
0.0,3000.0,48.0,9753.964682718552,1250.6947241636021,5927.754767649897
0.0,3000.0,50.0,10375.972358365596,1315.4795422399625,6204.16863177359
0.0,5000.0,20.0,1125.8057477774564,378.3278373418807,2044.6019241791664
0.0,5000.0,22.0,1803.593835021808,448.329704517543,2373.4208221600006
0.0,5000.0,24.0,2478.536815349222,516.0595651659879,2689.9313185324345
0.0,5000.0,26.0,3152.531426704323,582.5412498766794,2997.447605941646
0.0,5000.0,28.0,3828.2698132665796,649.0290530968698,3299.294074548645
0.0,5000.0,30.0,4505.262494276089,715.8656113584913,3598.703336871959
0.0,5000.0,32.0,5181.694311914875,783.1355640429437,3900.213287456525
0.0,5000.0,34.0,5856.586304663133,850.6278225725188,4200.754474037116
0.0,5000.0,36.0,6530.4381507965945,918.377058501043,4499.31734254643
0.0,5000.0,38.0,7208.868681538319,986.9900240204801,4796.7890768617945
0.0,5000.0,40.0,7883.699489191589,1055.4428885413652,5094.678909326242
