mode,mach,altitude_ft,throttle,thrust_lbf,fuel_flow_lbm_s,fan1_speed_rpm,fan2_speed_rpm,fan1_shaft_power_hp,fan2_shaft_power_hp,fan_speed_delta_rpm,fan_speed_delta_fraction,fan_power_delta_hp,fan_power_delta_fraction,fan1_power_fraction,fan1_area_in2,fan2_area_in2,inlet_area_in2,nozzle_throat_area_in2,pycycle_point_name,pycycle_converged,pycycle_residual_norm,pycycle_solver_iterations,pycycle_solver_atol,pycycle_solver_rtol,pycycle_status,required_thrust_lbf,drag_lbf,required_thrust_to_weight,dynamic_pressure_lbf_ft2,velocity_ft_s,speed_of_sound_ft_s,lift_coefficient,parasite_cd0,wave_cd0,zero_lift_drag_coefficient,lift_dependent_k,induced_drag_coefficient,total_drag_coefficient,density_slug_ft3,temperature_R,pressure_psf,is_stall_limited,fan1_motor_terminal_hp,fan2_motor_terminal_hp,fan1_generator_electric_hp,fan2_generator_electric_hp,fan1_generator_shaft_hp,fan2_generator_shaft_hp,per_engine_motor_terminal_hp,per_engine_generator_electric_hp,per_engine_generator_shaft_hp,aircraft_motor_terminal_hp,aircraft_generator_electric_hp,aircraft_generator_shaft_hp,generator_shaft_power_hp,fan1_motor_efficiency,fan2_motor_efficiency,fan1_generator_efficiency,fan2_generator_efficiency,distribution_efficiency,inverter_efficiency,cable_efficiency,per_turbine_shaft_power_hp,per_turbine_shaft_power_kw,turboshaft_required_throttle,turboshaft_power_available_hp,turboshaft_fuel_flow_lb_hr_per_turbine,aircraft_turboshaft_fuel_flow_lb_hr,aircraft_turboshaft_fuel_flow_lbm_s,generator_turbine_freestream_mach,generator_turbine_deck_mach,generator_turbine_engine_face_mach,generator_turbine_pressure_recovery,generator_turbine_freestream_total_temperature_R,generator_turbine_freestream_total_pressure_psf,generator_turbine_total_temperature_R,generator_turbine_total_pressure_psf,generator_turbine_static_temperature_R,generator_turbine_static_pressure_psf,generator_turbine_density_slug_ft3,generator_turbine_velocity_ft_s,generator_turbine_corrected_airflow_lbm_s_per_turbine,generator_turbine_airflow_lbm_s_per_turbine,generator_turbine_engine_face_area_in2_per_turbine,aircraft_generator_turbine_engine_face_area_in2,turboshaft_status
fan,0.175,750.0,1.0,1949.6926691688843,0.0,5135.0,4847.0,1587.688130253499,864.2942801925732,288.0,0.0560856864654333,723.3938500609257,0.45562717027142147,0.6475120390299464,209.2288710093688,183.54918830328407,254.16431846327657,118.00000000001087,OD_mode1,True,1.058049519912557e-09,6,1e-06,1e-06,residual_pass,25608.132342119534,25608.132342119534,0.6898242550420024,44.1500090931576,194.88890477724817,1113.6508844414182,1.7696944368073124,0.02160745432431009,0.0,0.02160745432431009,0.3828991784216706,1.19917069219827,1.2207781465225802,0.0023248051669976346,516.0720376635943,2059.47564282951,False,1667.23317699,901.104715984,1736.15867645,938.357509095,1805.7480041,974.962893529,2568.33789297,2674.51618554,2780.71089763,5136.67578595,5349.03237108,5561.42179527,2780.71089763,0.952289189158,0.959149658038,0.961462326138,0.962454587065,0.9603,0.97,0.99,2780.71089763,2073.57575927,26.5083224342,2837.46009804,2558.2855185,5116.571037,1.4212697325,0.175,0.35,0.35,0.98,519.155851702,2103.97610661,519.155851702,2061.89658447,506.740704444,1894.41450201,0.00217782330351,386.24088783,81.1395939666,79.0198635561,420.447880307,840.895760614,ok
fan,0.35,1500.0,1.0,1683.538586471662,0.0,5135.0,4847.0,1638.012524307182,875.1632602106328,288.0,0.0560856864654333,762.8492640965493,0.46571638053818054,0.6517699774118489,209.2288710093688,183.54918830328407,252.7117466361868,117.99999999999994,OD_mode1,True,1.8327211205755015e-09,3,1e-06,1e-06,residual_pass,5580.03009054779,5580.03009054779,0.1503131914853847,171.84085066959233,388.79882393480796,1110.8537826708798,0.4546766683981442,0.019452478250121138,0.0,0.019452478250121138,0.23649792704857642,0.04889142287074587,0.06834390112086701,0.002273560543104714,513.4829080914114,2003.97493492236,False,1721.51394522,912.490864688,1792.68347935,950.214375391,1865.39946931,987.161498989,2634.00480991,2742.89785474,2852.5609683,5268.00961982,5485.79570949,5705.12193661,2852.5609683,0.95149535608,0.959092626653,0.961018542593,0.962572361629,0.9603,0.97,0.99,2852.5609683,2127.15434774,27.6226722091,2910.77649664,2589.49294736,5178.98589472,1.43860719298,0.35,0.35,0.35,0.98,525.89711862,2181.1646078,525.89711862,2137.54131564,513.32076,1963.91482361,0.00222878020243,388.740479118,81.1395939666,81.3921264717,420.447880307,840.895760614,ok
fan,0.64,18250.0,1.0,876.1852101471255,0.0,5135.0,4847.0,1038.1950396625814,614.1108565640188,288.0,0.0560856864654333,424.08418309856245,0.4084821896629288,0.6283310142713437,209.2288710093688,183.54918830328407,179.99999999999997,117.99999999999999,OD_mode1,False,4601050.541397223,50,1e-06,1e-06,residual_fail,4246.987646247489,4246.987646247489,0.11440409047037818,299.8150738373835,667.6368576862085,1043.1825901347006,0.26060072456373967,0.018650402838544574,0.0,0.018650402838544574,0.16437838347425593,0.011163386031091606,0.02981378886963618,0.0013452495335753566,452.82756577304497,1045.6719930154281,False,1082.57332477,640.80359714,1127.32825656,667.295217265,1169.90345043,697.270519993,1723.37692191,1794.62347382,1867.17397042,3446.75384383,3589.24694765,3734.34794084,1867.17397042,0.959006670407,0.958344895855,0.963607942304,0.95701051189,0.9603,0.97,0.99,1867.17397042,1392.35138996,20.6084002881,1905.27956058,2601.22605252,5202.45210504,1.44512558473,0.64,0.35,0.35,0.98,490.745474554,1377.82289083,490.745474554,1350.26643301,479.009736021,1240.58807389,0.00150874791512,375.523847249,81.1395939666,53.2242551922,420.447880307,840.895760614,ok
fan,0.93,34999.99999999999,1.0,458.82285862959344,0.0,5135.0,4847.0,654.7365108727764,407.3508210677292,288.0,0.0560856864654333,247.38568980504724,0.37784007107726025,0.6164620282934063,209.2288710093688,183.54918830328407,179.99999999999997,118.00000000000001,OD_mode1,False,1298803.2478762001,50,1e-06,1e-06,residual_fail,4250.252996333818,4250.252996333818,0.1144920515001269,301.40489413923456,908.8392190163017,977.2464720605395,0.25922613400252226,0.018438603619165432,0.0004791171467741475,0.018917720765939578,0.16014733954421503,0.010761611118455998,0.029679331884395574,0.0007298038921453831,397.3931879592512,497.836073764489,False,683.293117947,428.266350047,711.541307869,445.971415232,742.445213412,472.188483516,1111.55946799,1157.5127231,1214.63369693,2223.11893599,2315.0254462,2429.26739386,1214.63369693,0.958207383736,0.951162333961,0.958375507062,0.944477535562,0.9603,0.97,0.99,1214.63369693,905.752191819,20.2496506647,1239.42213903,2414.98630264,4829.97260528,1.34165905702,0.93,0.35,0.35,0.98,461.983334112,870.378771864,461.983334112,852.971196427,450.93541641,783.686736026,0.00101242199586,364.353146462,81.1395939666,34.6528919592,420.447880307,840.895760614,ok
fan_ab,1.315,39000.0,1.0,3377.359564210609,1.5796122950586362,6000.0,6000.0,1116.296123074503,989.3599457594521,0.0,0.0,126.9361773150509,0.11371192167669925,0.5301417166824742,209.2288710093688,183.54918830328407,254.09479375944758,246.00070145005705,OD_mode2,True,3.114641637630943e-11,6,1e-06,1e-06,residual_pass,11174.141289027864,11174.141289027864,0.3010056956695552,497.613652666584,1276.911686654388,971.0355031592303,0.1570134281052454,0.016810128037477064,0.026962659236809412,0.043772787274286476,0.1415291536941213,0.0034891488819946102,0.04726193615628109,0.0006103803705862923,392.3579110040815,411.09551774150185,False,1162.85442736,1031.14684826,1210.92828008,1073.77574535,1256.50360595,1114.54534276,2194.00127562,2284.70402543,2371.04894871,4388.00255125,4569.40805087,4742.09789742,2371.04894871,0.959962052693,0.959475313752,0.963728455971,0.963420422801,0.9603,0.97,0.99,2371.04894871,1768.09089657,25.17725775,2459.00291169,2219.01969805,4438.03939609,1.23278872114,1.315,0.35,0.35,0.964231858411,524.83917465,1162.22851901,524.83917465,1120.65776478,512.288115813,1029.62987445,0.00117084734557,388.349268865,81.1395939666,42.7147782083,420.447880307,840.895760614,ok
fan_ab,1.7,43000.0,1.0,4111.288477625426,1.9881410667976571,6000.0,6000.0,1476.7115441868496,1218.4274861100841,0.0,0.0,258.28405807676535,0.1749048817919205,0.5479166483014996,209.2288710093688,183.54918830328407,248.127672211557,246.00070145005714,OD_mode2,True,2.000454554274125e-08,5,1e-06,1e-06,residual_pass,13054.368144397258,13054.368144397258,0.3516546876572234,685.4942350204484,1645.4020932585402,967.8835842697296,0.11397911387952453,0.01533647988480327,0.022799398530793127,0.038135878415596396,0.14974794666541216,0.0019454112751549056,0.0400812896907513,0.000506395351777579,389.81490775717083,338.8503386161387,False,1539.95308485,1269.24243842,1603.61666651,1321.71450424,1666.29281968,1371.60897297,2809.19552327,2925.33117074,3037.90179266,5618.39104653,5850.66234149,6075.80358531,3037.90179266,0.958932813421,0.959964345052,0.962385870936,0.963623401628,0.9603,0.97,0.99,3037.90179266,2265.36297666,30.2515015302,3253.75134609,2247.74217237,4495.48434473,1.24874565131,1.7,0.35,0.35,0.933661324368,615.37266,1673.74225195,615.37266,1562.70840761,600.656573939,1435.77398211,0.00139249378765,420.512072604,81.1395939666,55.0081606128,420.447880307,840.895760614,ok
fan_ab,1.8599999999999999,46500.0,1.0,4084.203321121595,2.017626874851753,6000.0,6000.0,1542.9999478303373,1205.9985933260352,0.0,0.0,337.00135450430196,0.21840658839825017,0.5612952952609683,209.2288710093688,183.54918830328407,245.48952099459635,246.0007014574108,OD_mode2,True,7.948261183161326e-07,4,1e-06,1e-06,residual_pass,12653.86530709925,12653.86530709925,0.34086606130641,693.1666507317443,1797.8509665976085,966.58654118151,0.11271751950944675,0.014941868336819873,0.021541111015285233,0.03648297935210511,0.15258253167266536,0.0019385975633084323,0.03842157691541354,0.0004289041801990448,388.7708401382209,286.2290647687365,False,1609.81484337,1256.27562956,1676.36659728,1308.21163132,1742.76491328,1357.5586106,2866.09047293,2984.5782286,3100.32352388,5732.18094585,5969.1564572,6200.64704776,3100.32352388,0.95849529167,0.95997929511,0.961900589405,0.963650203467,0.9603,0.97,0.99,3100.32352388,2311.91085362,33.3530090516,3374.25748603,2127.65580451,4255.31160901,1.1820310025,1.86,0.35,0.35,0.91881652037,659.7980424,1805.45027098,659.7980424,1658.87753569,644.019563104,1524.13156136,0.00137865886673,435.426524713,81.1395939666,56.3932452676,420.447880307,840.895760614,ok
fan_ab,2.02,49999.99999999999,1.0,4042.1004158875744,2.049501435490629,6000.0,6000.0,1635.1614448909365,1163.0235589034105,0.0,0.0,472.1378859875259,0.2887408380760941,0.584365023282468,209.2288710093688,183.54918830328407,242.6456215427512,246.00070159330005,OD_mode2,True,6.500234075217144e-07,4,1e-06,1e-06,residual_pass,12127.835697796792,12127.835697796792,0.3266960320938435,690.9008539982432,1951.8469875203289,966.260884911054,0.11308717455623803,0.01456222383892461,0.020408830614627952,0.03497105445355256,0.15436090907167674,0.0019740767546742688,0.036945131208226824,0.00036270553816408914,388.50891980542934,241.88834918083782,False,1707.2050992,1211.48316179,1777.78308778,1261.56738705,1849.66445246,1309.06817656,2918.68826098,3039.35047483,3158.73262903,5837.37652197,6078.70094967,6317.46525805,3158.73262903,0.957800234818,0.959999771839,0.961138159634,0.963714044571,0.9603,0.97,0.99,3158.73262903,2355.46651583,37.2569849542,3498.1669636,2045.82834002,4091.65668004,1.13657130001,2.02,0.35,0.35,0.902967942962,708.2167176,1955.1074181,708.2167176,1765.3993236,691.280349048,1622.0008829,0.00136687970927,451.120389968,81.1395939666,57.9266137965,420.447880307,840.895760614,ok
ramjet,2.51,59999.99999999999,1.0,10406.038614076058,6.969596904833587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295.022380726032,1032.7602975949856,OD_mode3,True,2.6285827971153653e-10,5,1e-06,1e-06,residual_pass,10406.038603088715,10406.038603088715,0.2803147738934192,659.9724928584228,2430.5775832788704,968.3576028999486,0.11838679084753025,0.013428239110288788,0.01743086736373516,0.03085910647402395,0.16599274238135758,0.002326460034369002,0.03318556650839295,0.00022342761691008435,390.1968230603747,149.6512510818248,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9603,0.97,0.99,0,0,,,,,,2.51,0.35,0.35,0.849178193413,881.3399994,2599.28699009,881.3399994,2207.25783041,860.263542606,2027.96846122,0.00137329266434,503.246902399,81.1395939666,64.9231523283,420.447880307,840.895760614,no_generator_load
ramjet,3.0,69999.99999999999,1.0,8478.086633224642,6.290356656855197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.8467443008653,753.5069852549549,OD_mode3,True,5.411423466103467e-07,5,1e-06,1e-06,residual_pass,8478.087031949206,8478.087031949206,0.2283801877021838,583.350039596053,2915.0341489048774,971.6780496349592,0.13393677924708228,0.01244890441141684,0.01490768716510881,0.02735659157652565,0.18016078087146092,0.0032319152081489518,0.0305885067846746,0.0001373004412501923,392.87733918916774,92.59524438032588,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9603,0.97,0.99,0,0,,,,,,3,0.35,0.35,0.788815905902,1098.64944,3404.53920188,1098.64944,2685.55467471,1072.37622255,2467.41459296,0.00134038134485,561.874004049,81.1395939666,70.7493903997,420.447880307,840.895760614,no_generator_load
