# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568
# altitude_extension_method: ISA density-lapse extrapolation from highest source altitude
# source_altitude_max_ft: 25000.0
# expanded_altitude_max_ft: 100000.0
# altitude_lapse_exponent: 1.0
mach,altitude_ft,throttle,shaft_power_hp,tailpipe_thrust_lbf,fuel_flow_lb_hr
0.0,20000.0,24.0,355.85,59.0754,353.581
0.0,20000.0,26.0,454.15,69.4682,389.413
0.0,20000.0,28.0,551.161,78.8939,428.355
0.0,20000.0,30.0,647.5,87.5,468.4
0.0,20000.0,32.0,745.387,96.0806,505.599
0.0,20000.0,34.0,842.382,105.74,545.689
0.0,20000.0,36.0,938.267,116.452,589.458
0.0,20000.0,38.0,1037.43,124.758,627.355
0.0,20000.0,40.0,1135.9,136.1,669.7
0.0,20000.0,42.0,1232.69,145.814,710.136
0.0,20000.0,44.0,1330.63,155.941,753.564
0.0,20000.0,46.0,1426.45,167.225,795.168
0.0,20000.0,48.0,1524.63,180.309,843.66
0.0,20000.0,50.0,1621.4,190.6,887.0
0.0,23000.0,20.0,150.2,40.9,342.1
0.0,23000.0,22.0,240.861,50.9589,351.257
0.0,23000.0,24.0,330.26,59.1052,370.678
0.0,23000.0,26.0,419.24,66.7821,397.591
0.0,23000.0,28.0,508.999,76.312,429.156
0.0,23000.0,30.0,599.3,86.5,462.8
0.0,23000.0,32.0,688.767,93.7732,494.468
0.0,23000.0,34.0,780.934,101.413,530.156
0.0,23000.0,36.0,875.279,110.681,570.318
0.0,23000.0,38.0,960.805,120.434,603.507
0.0,23000.0,40.0,1049.3,127.6,640.8
0.0,23000.0,42.0,1139.46,139.702,678.57
0.0,23000.0,44.0,1228.25,146.559,713.657
0.0,23000.0,46.0,1318.23,159.104,753.665
0.0,23000.0,48.0,1408.79,169.4,795.745
0.0,23000.0,50.0,1498.4,179.3,835.2
0.0,25000.0,20.0,151.6,42.1,398.9
0.0,25000.0,22.0,241.951,50.9027,385.858
0.0,25000.0,24.0,332.736,59.6054,394.756
0.0,25000.0,26.0,423.545,68.2268,418.016
0.0,25000.0,28.0,513.62,76.8431,446.566
0.0,25000.0,30.0,603.6,85.3,477.3
0.0,25000.0,32.0,695.182,93.0283,508.442
0.0,25000.0,34.0,786.511,101.662,542.501
0.0,25000.0,36.0,877.181,111.546,579.325
0.0,25000.0,38.0,969.53,120.194,613.149
0.0,25000.0,40.0,1059.5,129.5,650.6
0.0,25000.0,42.0,1150.16,141.444,687.298
0.0,25000.0,44.0,1241.99,148.623,724.296
0.0,25000.0,46.0,1332.47,158.012,763.729
0.0,25000.0,48.0,1422.42,169.693,808.309
0.0,25000.0,50.0,1513.4,179.1,842.5
0.0,30000.0,20.0,126.57007542654927,35.14907767452325,333.03959820349934
0.0,30000.0,22.0,202.00366965388537,42.49840750933384,322.1508981790069
0.0,30000.0,24.0,277.79960829240304,49.76424784848048,329.5797935031852
0.0,30000.0,26.0,353.61558440988006,56.96221122765232,348.9994501946202
0.0,30000.0,28.0,428.81874762918363,64.15591664254531,372.8357012066781
0.0,30000.0,30.0,503.9425958276065,71.21653980134995,398.49536280403674
0.0,30000.0,32.0,580.4039457465658,77.66885849474706,424.4956615437043
0.0,30000.0,34.0,656.6540672414953,84.87709108188557,452.9313488718892
0.0,30000.0,36.0,732.3539929599995,93.12919283331046,483.6755207551825
0.0,30000.0,38.0,809.4557073107013,100.34936441832892,511.91500776855713
0.0,30000.0,40.0,884.5712065595577,108.11889688481617,543.1826587896634
0.0,30000.0,42.0,960.2627833284955,118.09088224691843,573.8216339084199
0.0,30000.0,44.0,1036.9311871967013,124.08459314063346,604.7110775141684
0.0,30000.0,46.0,1112.472482873444,131.9234218885218,637.6334903393341
0.0,30000.0,48.0,1187.5712842231678,141.6758298770279,674.8531075063233
0.0,30000.0,50.0,1263.53002737823,149.5296867341357,703.3990009687847
0.0,35000.0,20.0,104.83163832387937,29.112216183610304,275.83997709363774
0.0,35000.0,22.0,167.30949686082414,35.199297071958675,266.82141359086705
0.0,35000.0,24.0,230.08746708004173,41.217227803101316,272.9743945790325
0.0,35000.0,26.0,292.88203333698874,47.17893945643571,289.0587211450842
0.0,35000.0,28.0,355.16903744004566,53.13712445175261,308.8010910273187
0.0,35000.0,30.0,417.3903488937572,58.985084096483575,330.0537003429263
0.0,35000.0,32.0,480.71944586590445,64.32921569581364,351.58844229993326
0.0,35000.0,34.0,543.8735929403211,70.29943281848433,375.14029434263114
0.0,35000.0,36.0,606.5720404787522,77.13423435669822,400.6041482320674
0.0,35000.0,38.0,670.4315191566674,83.11433995184933,423.9934974053319
0.0,35000.0,40.0,732.6459155946583,89.54945358141411,449.8909227804481
0.0,35000.0,42.0,795.3374481173688,97.80874835806591,475.26764747180505
0.0,35000.0,44.0,858.8380374793862,102.77303814386494,500.8518226347793
0.0,35000.0,46.0,921.4050997191264,109.26554640391048,528.1198041257129
0.0,35000.0,48.0,983.6056661256762,117.34297626711124,558.9469442080251
0.0,35000.0,50.0,1046.518479151445,123.8479315554538,582.5900744582347
0.0,40000.0,20.0,83.28003211038812,23.127238468650003,219.13195784191177
0.0,40000.0,22.0,132.91350296266833,27.962918802806424,211.96745798186112
0.0,40000.0,24.0,182.78538762719066,32.74366507884254,216.85549047340615
0.0,40000.0,26.0,232.67045646566189,37.47974996562684,229.63315239219003
0.0,40000.0,28.0,282.15230931753,42.21303321544701,245.31682598553815
0.0,40000.0,30.0,331.58197481418387,46.8587515766234,262.2002594082339
0.0,40000.0,32.0,381.8916839219251,51.10422039033523,279.30782378806043
0.0,40000.0,34.0,432.06240986262185,55.84706216626833,298.0178146432564
0.0,40000.0,36.0,481.8711203603059,61.27674447087965,318.24673220547896
0.0,40000.0,38.0,532.6021736938299,66.02744181712396,336.8276280240922
0.0,40000.0,40.0,582.0263457846717,71.13960526579989,357.400982130729
0.0,40000.0,42.0,631.8295628765436,77.70092916768957,377.5606827797199
0.0,40000.0,44.0,682.2755084484232,81.64464520014653,397.8851856030718
0.0,40000.0,46.0,731.9798442356786,86.80240391706234,419.5473327416532
0.0,40000.0,48.0,781.3930295148964,93.21925124609561,444.0369358516868
0.0,40000.0,50.0,831.3720355927534,98.38689809347305,462.8194396636016
0.0,45000.0,20.0,65.48960965873864,18.186758355098267,172.3206153883301
0.0,45000.0,22.0,104.52029384262187,21.98943241145037,166.68660820383627
0.0,45000.0,24.0,143.73846147368116,25.748907516840244,170.53045086045535
0.0,45000.0,26.0,182.9669968529714,29.473261875097823,180.57852685426977
0.0,45000.0,28.0,221.87845193219886,33.195413086856334,192.91182735398604
0.0,45000.0,30.0,260.7488680080122,36.848705170781045,206.1885929427174
0.0,45000.0,32.0,300.31133127824046,40.187249697994964,219.64161025137466
0.0,45000.0,34.0,339.76450120253423,43.9169175272209,234.3547409596001
0.0,45000.0,36.0,378.932990039987,48.186701840327586,250.2623226619312
0.0,45000.0,38.0,418.8267892640955,51.922547119541115,264.8739358353954
0.0,45000.0,40.0,457.69288544481265,55.94264149608612,281.05237496025967
0.0,45000.0,42.0,496.85705438716917,61.1023241990147,296.90552598437836
0.0,45000.0,44.0,536.5266510557838,64.2035768885931,312.8882738613837
0.0,45000.0,46.0,575.6130618864082,68.25952639443675,329.9229161943193
0.0,45000.0,48.0,614.4705182769329,73.30559585633469,349.1810085332809
0.0,45000.0,50.0,653.7729238623685,77.36932117335152,363.9511618567765
0.0,50000.0,20.0,51.499607583832464,14.301672026908621,135.50919172289426
0.0,50000.0,22.0,82.19249046514412,17.29201236779386,131.0787307591189
0.0,50000.0,24.0,113.03280625998734,20.248381991275515,134.10144519368976
0.0,50000.0,26.0,143.8812750270074,23.177133421508053,142.0030340617633
0.0,50000.0,28.0,174.48039872828517,26.104152345153015,151.70167388048634
0.0,50000.0,30.0,205.04725024802954,28.97702194525666,162.14223416730368
0.0,50000.0,32.0,236.15831266057933,31.602380898357797,172.72139498112762
0.0,50000.0,34.0,267.183429158098,34.53531072683098,184.29148162161408
0.0,50000.0,36.0,297.9846786279271,37.89297643500117,196.80085859830967
0.0,50000.0,38.0,329.35629644296233,40.83076407606306,208.2911140528977
0.0,50000.0,40.0,359.9197508909664,43.99207903764053,221.01348742771376
0.0,50000.0,42.0,390.71760328905515,48.04954152432453,233.4800613004808
0.0,50000.0,44.0,421.91291308076575,50.488299326727784,246.0485473254586
0.0,50000.0,46.0,452.64961818752806,53.67780998375024,259.4442203192136
0.0,50000.0,48.0,483.20627849205135,57.64592948366282,274.5883661377311
0.0,50000.0,50.0,514.1128371858315,60.841554869817905,286.2032941251903
0.0,55000.0,20.0,40.49817360508324,11.246524464208473,106.56148714424607
0.0,55000.0,22.0,64.63439051400722,13.598063202951655,103.07746880547631
0.0,55000.0,24.0,88.88654546610142,15.922888106862986,105.45446582881424
0.0,55000.0,26.0,113.14511173855529,18.225994663056024,111.66810381070235
0.0,55000.0,28.0,137.20759846334337,20.52773881367264,119.29490365519526
0.0,55000.0,30.0,161.2447070450412,22.786901111567285,127.50513365241578
0.0,55000.0,32.0,185.70977126074524,24.85142640887708,135.82435609575023
0.0,55000.0,34.0,210.1072494743247,27.15781876675444,144.9228211011297
0.0,55000.0,36.0,234.3286835163623,29.798214201534403,154.75992363960984
0.0,55000.0,38.0,258.9986428452266,32.10842663779271,163.79561113313446
0.0,55000.0,40.0,283.03308004344126,34.59441610724459,173.80020941601026
